"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Jason Moore","LAC","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Damion Willis","CIN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Darious Williams","LA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"A.J. Brown","TEN","1","WR","8","6","0","64","0","0","0","0","75","8","8","10.67","2.5","","","","","","","","","","","","1","0","-2","0","0","0","-2","0","0","0","0","","","","","","","","","0","0","12.2","0.31","1.74"
"Miles Boykin","BLT","1","WR","2","2","1","55","0","0","0","0","100","26","27.5","27.5","1.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.5","0.24","3.75"
"Auden Tate","CIN","1","WR","7","3","0","65","0","0","0","0","42.9","20","9.29","21.67","4.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.5","0.15","3.17"
"Cedrick Wilson","DAL","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Courtland Sutton","DEN","1","WR","7","6","1","87","0","0","0","0","85.7","13.71","12.43","14.5","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","14.7","0.23","2.45"
"Keelan Doss","OAK","1","WR","5","3","0","54","0","0","0","0","60","15.6","10.8","18","5.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.4","0.29","2.8"
"Jaleel Scott","BLT","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Malik Turner","SEA","1","WR","1","1","0","24","0","0","0","0","100","10","24","24","14","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.4","0.31","3.4"
"D.K. Metcalf","SEA","1","WR","8","4","0","53","0","0","0","1","50","13","6.63","13.25","2.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","9.3","0.17","2.33"
"Andy Isabella","ARZ","1","WR","2","2","0","8","0","0","0","0","100","-2","4","4","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.8","0.28","1.4"
"Mecole Hardman","KC","1","WR","2","2","0","28","0","1","0","0","100","6","14","14","8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.8","0.37","5.4"
"Javon Wims","CHI","1","WR","1","1","0","6","0","1","0","0","100","7","6","6","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.6","0.35","7.6"
"Preston Williams","MIA","1","WR","8","6","0","82","0","0","0","0","75","15.13","10.25","13.67","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","14.2","0.22","2.37"
"J.J. Arcega-Whiteside","PHI","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Richie James Jr.","SF","1","WR","1","1","1","40","0","0","0","0","100","11","40","40","29","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5","0.16","5"
"Michael Gallup","DAL","1","WR","4","3","0","34","0","0","0","1","75","6","8.5","11.33","6.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.4","0.11","2.13"
"Darius Slayton","NYG","1","WR","2","2","0","28","0","0","0","0","100","13","14","14","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.8","0.07","2.4"
"Marcell Ateman","OAK","1","WR","1","1","0","36","0","0","0","0","100","32","36","36","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.6","0.2","4.6"
"Deon Cain","IND","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Zach Pascal","IND","1","WR","6","6","0","106","1","2","0","0","100","8.5","17.67","17.67","9.17","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","28.6","0.84","4.77"
"C.J. Board","JAX","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Kenny Golladay","DET","1","WR","2","1","0","21","0","0","0","0","50","28.5","10.5","21","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","3.1","0.05","3.1"
"Mike Williams","LAC","1","WR","6","4","0","47","0","0","0","0","66.7","8.5","7.83","11.75","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.7","0.14","2.17"
"Corey Davis","TEN","1","WR","6","6","0","80","0","1","0","0","100","9.33","13.33","13.33","4.17","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","20","0.43","3.33"
"Marvin Hall","DET","1","WR","2","1","1","47","0","0","0","0","50","20.5","23.5","47","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.7","0.41","5.7"
"Robby Anderson","NYJ","1","WR","6","1","0","10","0","0","0","0","16.7","23.67","1.67","10","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2","0.04","2"
"Tyreek Hill","KC","1","WR","5","3","1","74","0","1","1","0","60","16","14.8","24.67","13","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16.4","0.31","5.47"
"Demarcus Robinson","KC","1","WR","5","3","0","31","0","0","0","0","60","5.2","6.2","10.33","8.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.1","0.12","2.03"
"Michael Thomas","NO","1","WR","10","9","0","131","1","0","0","0","90","11.6","13.1","14.56","3.22","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","22.1","0.31","2.46"
"Darius Jennings","TEN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Damiere Byrd","ARZ","1","WR","2","1","0","4","0","0","0","0","50","23","2","4","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.4","0.03","1.4"
"Chris Conley","JAX","1","WR","7","3","1","83","0","0","0","1","42.9","15.71","11.86","27.67","15.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","11.3","0.2","3.77"
"Phillip Dorsett","NE","1","WR","3","3","0","46","0","1","0","0","100","16.67","15.33","15.33","1.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.6","0.19","4.53"
"Seth Roberts","BLT","1","WR","3","1","0","9","0","0","0","0","33.3","10.67","3","9","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.9","0.1","1.9"
"Bennie Fowler","NYG","1","WR","5","4","0","35","0","0","0","1","80","7.8","7","8.75","1.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.5","0.28","1.88"
"John Brown","BUF","1","WR","6","5","0","83","0","1","0","0","83.3","17.5","13.83","16.6","1.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","19.3","0.37","3.86"
"Allen Robinson II","CHI","1","WR","15","10","0","87","0","1","0","0","66.7","11.47","5.8","8.7","3.2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","24.7","0.4","2.47"
"Cody Latimer","NYG","1","WR","4","4","0","33","0","0","0","0","100","5.75","8.25","8.25","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.3","0.32","1.82"
"Paul Richardson Jr.","WAS","1","WR","1","0","0","0","0","0","0","1","0","6","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Jordan Matthews","SF","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Brandin Cooks","LA","1","WR","6","4","0","59","0","0","0","0","66.7","16","9.83","14.75","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.9","0.17","2.48"
